Ensembl.Gene.ID	Ensembl.Transcript.ID	Ensembl.Protein.ID	EntrezGene.ID	HGNC.symbol	Description	aPSR.total	human.sequence.length	protein.alignment.length	branch.length.ratio.longest.average	aPSG.with.3ormore.aPSR.and.all.aPSR.within.single.exon	Artefact	Artefact.classification
ENSG00000127863	ENST00000382258	ENSP00000371693	55504	TNFRSF19	tumor necrosis factor receptor superfamily, member 19 [Source:HGNC Symbol;Acc:HGNC:11915]	1	423	423	3.03875939171888	0	1	3b
ENSG00000128567	ENST00000378555	ENSP00000367817	5420	PODXL	podocalyxin-like [Source:HGNC Symbol;Acc:HGNC:9171]	10	558	638	3.24714426448603	0	1	2
ENSG00000128595	ENST00000542996	ENSP00000438248	813	CALU	calumenin [Source:HGNC Symbol;Acc:HGNC:1458]	12	323	323	11.5782729535883	1	1	2
ENSG00000129214	ENST00000380450	ENSP00000369816	6462	SHBG	sex hormone-binding globulin [Source:HGNC Symbol;Acc:HGNC:10839]	1	402	498	3.44856193696418	0	0	
ENSG00000129353	ENST00000335757	ENSP00000336888	57153	SLC44A2	solute carrier family 44 (choline transporter), member 2 [Source:HGNC Symbol;Acc:HGNC:17292]	1	706	877	3.19174761074266	0	0	
ENSG00000129465	ENST00000216274	ENSP00000216274	11035	RIPK3	receptor-interacting serine-threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:10021]	1	518	518	3.09754129817187	0	0	
ENSG00000130303	ENST00000252593	ENSP00000252593	684	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	1	180	377	4.37675052230827	0	0	
ENSG00000130414	ENST00000252711	ENSP00000252711	4705	NDUFA10	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa [Source:HGNC Symbol;Acc:HGNC:7684]	1	355	680	4.10914950454268	0	0	
ENSG00000130433	ENST00000252729	ENSP00000252729	59285	CACNG6	calcium channel, voltage-dependent, gamma subunit 6 [Source:HGNC Symbol;Acc:HGNC:13625]	1	260	384	2.5661207924507	0	1	2
ENSG00000130545	ENST00000356762	ENSP00000349204	92359	CRB3	crumbs family member 3 [Source:HGNC Symbol;Acc:HGNC:20237]	1	123	131	3.47079355848207	0	0	
ENSG00000130561	ENST00000409110	ENSP00000386444	6295	SAG	S-antigen; retina and pineal gland (arrestin) [Source:HGNC Symbol;Acc:HGNC:10521]	1	405	442	3.9969781564167	0	1	2
ENSG00000130844	ENST00000253144	ENSP00000253144	55422	ZNF331	zinc finger protein 331 [Source:HGNC Symbol;Acc:HGNC:15489]	1	463	463	4.28440145911281	0	1	3a
ENSG00000131016	ENST00000402676	ENSP00000384537	9590	AKAP12	A kinase (PRKA) anchor protein 12 [Source:HGNC Symbol;Acc:HGNC:370]	1	1782	1788	3.93413440556844	0	0	
ENSG00000131068	ENST00000253381	ENSP00000253381	117285	DEFB118	defensin, beta 118 [Source:HGNC Symbol;Acc:HGNC:16196]	1	123	123	3.084891010738	0	0	
ENSG00000131126	ENST00000602198	ENSP00000472308	83639	TEX101	testis expressed 101 [Source:HGNC Symbol;Acc:HGNC:30722]	2	267	551	10.8629255080646	0	1	2
ENSG00000131149	ENST00000253458	ENSP00000253458	23199	GSE1	Gse1 coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:28979]	1	1217	1413	2.76596055102833	0	1	3a
ENSG00000131355	ENST00000253673	ENSP00000253673	84658	EMR3	egf-like module containing, mucin-like, hormone receptor-like 3 [Source:HGNC Symbol;Acc:HGNC:23647]	4	652	1024	2.6910196946015	0	0	
ENSG00000131400	ENST00000253719	ENSP00000253719	9476	NAPSA	napsin A aspartic peptidase [Source:HGNC Symbol;Acc:HGNC:13395]	32	420	487	2.92751728971438	0	0	
ENSG00000131437	ENST00000403231	ENSP00000385808	11127	KIF3A	kinesin family member 3A [Source:HGNC Symbol;Acc:HGNC:6319]	1	726	800	3.59761481944079	0	1	2
ENSG00000132016	ENST00000346736	ENSP00000254336	79173	C19orf57	chromosome 19 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:28153]	1	637	779	3.14424594127093	0	0	
ENSG00000132256	ENST00000380034	ENSP00000369373	85363	TRIM5	tripartite motif containing 5 [Source:HGNC Symbol;Acc:HGNC:16276]	12	493	545	4.3313899489853	0	0	
ENSG00000133321	ENST00000255688	ENSP00000255688	5920	RARRES3	retinoic acid receptor responder (tazarotene induced) 3 [Source:HGNC Symbol;Acc:HGNC:9869]	13	164	168	3.52870342855795	0	0	
ENSG00000133328	ENST00000255695	ENSP00000255695	54979	HRASLS2	HRAS-like suppressor 2 [Source:HGNC Symbol;Acc:HGNC:17824]	4	162	291	3.76967134528133	0	0	
ENSG00000134531	ENST00000256951	ENSP00000256951	2012	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	10	157	163	2.65896862354565	0	0	
ENSG00000134757	ENST00000257189	ENSP00000257189	1830	DSG3	desmoglein 3 [Source:HGNC Symbol;Acc:HGNC:3050]	1	999	1003	3.59606155468713	0	0	
ENSG00000134760	ENST00000257192	ENSP00000257192	1828	DSG1	desmoglein 1 [Source:HGNC Symbol;Acc:HGNC:3048]	4	1049	1128	3.43884225612926	0	0	
ENSG00000134827	ENST00000257264	ENSP00000257264	6947	TCN1	transcobalamin I (vitamin B12 binding protein, R binder family) [Source:HGNC Symbol;Acc:HGNC:11652]	3	433	498	3.07980739768677	0	0	
ENSG00000135346	ENST00000610310	ENSP00000482232	1081	CGA	glycoprotein hormones, alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:1885]	5	147	166	2.60915254126279	0	0	
ENSG00000135451	ENST00000257909	ENSP00000257909	10024	TROAP	trophinin associated protein [Source:HGNC Symbol;Acc:HGNC:12327]	1	778	779	3.4662660767418	0	0	
ENSG00000135828	ENST00000367559	ENSP00000356530	6041	RNASEL	ribonuclease L (2,5-oligoisoadenylate synthetase-dependent) [Source:HGNC Symbol;Acc:HGNC:10050]	2	741	744	3.47532922030527	0	0	
ENSG00000136546	ENST00000409855	ENSP00000386796	6332	SCN7A	sodium channel, voltage-gated, type VII, alpha subunit [Source:HGNC Symbol;Acc:HGNC:10594]	1	1682	2238	3.27232514058147	0	0	
ENSG00000136861	ENST00000349780	ENSP00000343818	55755	CDK5RAP2	CDK5 regulatory subunit associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18672]	1	1893	1978	3.07963701326923	0	0	
ENSG00000136943	ENST00000538255	ENSP00000445052	1515	CTSV	cathepsin V [Source:HGNC Symbol;Acc:HGNC:2538]	1	334	391	4.72959793619305	0	0	
ENSG00000137101	ENST00000396757	ENSP00000379980	971	CD72	CD72 molecule [Source:HGNC Symbol;Acc:HGNC:1696]	3	359	619	3.03039890209916	1	0	
ENSG00000137337	ENST00000376406	ENSP00000365588	9656	MDC1	mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]	5	2089	2395	3.03590746068993	1	0	
ENSG00000137752	ENST00000533400	ENSP00000433138	834	CASP1	caspase 1, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:1499]	4	404	462	3.69729687829355	0	0	
ENSG00000138028	ENST00000402394	ENSP00000385452	10669	CGREF1	cell growth regulator with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:16962]	1	318	440	3.25171067853621	0	0	
ENSG00000138030	ENST00000260599	ENSP00000260599	3795	KHK	ketohexokinase (fructokinase) [Source:HGNC Symbol;Acc:HGNC:6315]	9	298	542	5.94930963886163	1	1	2
ENSG00000138092	ENST00000380834	ENSP00000370214	79172	CENPO	centromere protein O [Source:HGNC Symbol;Acc:HGNC:28152]	1	300	301	2.39012748462994	0	0	
ENSG00000138095	ENST00000260665	ENSP00000260665	10128	LRPPRC	leucine-rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]	3	1394	1494	2.88483440090327	0	0	
ENSG00000138496	ENST00000360356	ENSP00000353512	83666	PARP9	poly (ADP-ribose) polymerase family, member 9 [Source:HGNC Symbol;Acc:HGNC:24118]	6	854	993	3.60924757328329	0	0	
ENSG00000138698	ENST00000339360	ENSP00000340454	5910	RAP1GDS1	RAP1, GTP-GDP dissociation stimulator 1 [Source:HGNC Symbol;Acc:HGNC:9859]	1	608	611	3.12092286458238	0	1	3a
ENSG00000139547	ENST00000398138	ENSP00000381206	8608	RDH16	retinol dehydrogenase 16 (all-trans) [Source:HGNC Symbol;Acc:HGNC:29674]	1	317	327	3.55293979479861	0	0	
ENSG00000139610	ENST00000293636	ENSP00000293636	1990	CELA1	chymotrypsin-like elastase family, member 1 [Source:HGNC Symbol;Acc:HGNC:3308]	1	258	273	3.47349048975134	0	1	3a
ENSG00000140093	ENST00000261994	ENSP00000261994	51156	SERPINA10	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 10 [Source:HGNC Symbol;Acc:HGNC:15996]	1	444	473	2.77425990848441	0	0	
ENSG00000140332	ENST00000558939	ENSP00000452871	7090	TLE3	transducin-like enhancer of split 3 [Source:HGNC Symbol;Acc:HGNC:11839]	2	772	782	2.9452991846038	0	0	
ENSG00000140416	ENST00000358278	ENSP00000351022	7168	TPM1	tropomyosin 1 (alpha) [Source:HGNC Symbol;Acc:HGNC:12010]	9	284	484	9.13223297168199	1	1	2
ENSG00000140497	ENST00000268099	ENSP00000268099	10066	SCAMP2	secretory carrier membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:10564]	1	329	335	3.07016235830864	0	0	
ENSG00000141504	ENST00000269298	ENSP00000269298	112483	SAT2	spermidine/spermine N1-acetyltransferase family member 2 [Source:HGNC Symbol;Acc:HGNC:23160]	1	170	355	3.20862648379601	0	0	
ENSG00000142330	ENST00000391984	ENSP00000375844	11132	CAPN10	calpain 10 [Source:HGNC Symbol;Acc:HGNC:1477]	2	672	737	3.06844992548175	0	1	2 3b
ENSG00000143107	ENST00000370017	ENSP00000359034	163479	FNDC7	fibronectin type III domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26668]	2	733	775	2.50378052460293	0	1	2
ENSG00000143199	ENST00000367851	ENSP00000356825	55811	ADCY10	adenylate cyclase 10 (soluble) [Source:HGNC Symbol;Acc:HGNC:21285]	2	1610	1697	4.52493741253589	0	0	
ENSG00000143382	ENST00000369039	ENSP00000358035	54507	ADAMTSL4	ADAMTS-like 4 [Source:HGNC Symbol;Acc:HGNC:19706]	1	1097	1203	4.49048096062489	0	0	
ENSG00000143839	ENST00000272190	ENSP00000272190	5972	REN	renin [Source:HGNC Symbol;Acc:HGNC:9958]	3	406	468	2.71903563486365	0	1	2
ENSG00000144820	ENST00000273352	ENSP00000273352	84873	GPR128	G protein-coupled receptor 128 [Source:HGNC Symbol;Acc:HGNC:19241]	2	797	806	3.91490279834278	0	0	
ENSG00000145428	ENST00000347063	ENSP00000340979	285533	RNF175	ring finger protein 175 [Source:HGNC Symbol;Acc:HGNC:27735]	1	328	376	3.00325014753041	0	1	5
ENSG00000145649	ENST00000274306	ENSP00000274306	3001	GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3) [Source:HGNC Symbol;Acc:HGNC:4708]	6	262	262	4.28903737508938	0	0	
ENSG00000145982	ENST00000324331	ENSP00000316335	10667	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21062]	1	451	560	2.87654294260072	0	0	
ENSG00000146587	ENST00000396912	ENSP00000380120	57786	RBAK	RB-associated KRAB zinc finger [Source:HGNC Symbol;Acc:HGNC:17680]	1	714	960	2.72122346322554	0	0	
ENSG00000146678	ENST00000275525	ENSP00000275525	3484	IGFBP1	insulin-like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]	1	259	295	6.62122808054146	0	0	
ENSG00000147160	ENST00000276101	ENSP00000421172	158835	AWAT2	acyl-CoA wax alcohol acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:23251]	2	333	341	3.66235112435412	0	0	
ENSG00000147183	ENST00000276127	ENSP00000276127	53336	CPXCR1	CPX chromosome region, candidate 1 [Source:HGNC Symbol;Acc:HGNC:2332]	2	301	325	4.35728464630145	0	0	
ENSG00000147381	ENST00000360243	ENSP00000353379	4103	MAGEA4	melanoma antigen family A, 4 [Source:HGNC Symbol;Acc:HGNC:6802]	1	317	457	3.89154573939177	0	0	
ENSG00000148459	ENST00000376215	ENSP00000365388	23590	PDSS1	prenyl (decaprenyl) diphosphate synthase, subunit 1 [Source:HGNC Symbol;Acc:HGNC:17759]	1	415	439	5.33001004206122	0	0	
ENSG00000148719	ENST00000338820	ENSP00000345575	54788	DNAJB12	DnaJ (Hsp40) homolog, subfamily B, member 12 [Source:HGNC Symbol;Acc:HGNC:14891]	5	409	531	8.15147569887166	1	1	3b
ENSG00000148735	ENST00000369310	ENSP00000358316	79949	PLEKHS1	pleckstrin homology domain containing, family S member 1 [Source:HGNC Symbol;Acc:HGNC:26285]	1	465	579	2.83647794961216	0	0	
ENSG00000149021	ENST00000278282	ENSP00000278282	7356	SCGB1A1	secretoglobin, family 1A, member 1 (uteroglobin) [Source:HGNC Symbol;Acc:HGNC:12523]	1	91	92	4.17123023954769	0	0	
ENSG00000149516	ENST00000278865	ENSP00000278865	932	MS4A3	membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific) [Source:HGNC Symbol;Acc:HGNC:7317]	9	214	236	2.46311782121289	0	0	
ENSG00000150048	ENST00000315330	ENSP00000326407	51267	CLEC1A	C-type lectin domain family 1, member A [Source:HGNC Symbol;Acc:HGNC:24355]	1	280	328	3.46681085719294	0	0	
ENSG00000150477	ENST00000280020	ENSP00000280020	57536	KIAA1328	KIAA1328 [Source:HGNC Symbol;Acc:HGNC:29248]	3	577	617	2.95594086121549	0	0	
ENSG00000151418	ENST00000281087	ENSP00000281087	127124	ATP6V1G3	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G3 [Source:HGNC Symbol;Acc:HGNC:18265]	1	118	136	6.02954947077963	0	0	
ENSG00000151806	ENST00000281543	ENSP00000281543	60558	GUF1	GUF1 GTPase homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:25799]	1	669	674	3.05273517441003	0	0	
ENSG00000152291	ENST00000409232	ENSP00000386443	10618	TGOLN2	trans-golgi network protein 2 [Source:HGNC Symbol;Acc:HGNC:15450]	6	453	580	3.02860401326487	1	0	
ENSG00000152705	ENST00000282611	ENSP00000282611	347732	CATSPER3	cation channel, sperm associated 3 [Source:HGNC Symbol;Acc:HGNC:20819]	1	398	398	4.23782996771767	0	0	
ENSG00000153002	ENST00000491148	ENSP00000417222	1360	CPB1	carboxypeptidase B1 (tissue) [Source:HGNC Symbol;Acc:HGNC:2299]	1	417	433	3.05189986118503	0	0	
ENSG00000153006	ENST00000513458	ENSP00000427401	285672	SREK1IP1	SREK1-interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:26716]	1	155	164	3.61785032010937	0	1	3a
ENSG00000153237	ENST00000283233	ENSP00000283233	130940	CCDC148	coiled-coil domain containing 148 [Source:HGNC Symbol;Acc:HGNC:25191]	2	591	612	3.14858062266975	0	0	
ENSG00000153495	ENST00000283547	ENSP00000283547	121793	TEX29	testis expressed 29 [Source:HGNC Symbol;Acc:HGNC:20370]	1	151	159	3.32877577657578	0	0	
ENSG00000153498	ENST00000283550	ENSP00000283550	122258	SPACA7	sperm acrosome associated 7 [Source:HGNC Symbol;Acc:HGNC:29575]	1	195	269	3.23982980376718	0	0	
ENSG00000153802	ENST00000283916	ENSP00000283916	9407	TMPRSS11D	transmembrane protease, serine 11D [Source:HGNC Symbol;Acc:HGNC:24059]	1	418	430	3.24073994701298	0	1	3a
ENSG00000154511	ENST00000370310	ENSP00000359333	388650	FAM69A	family with sequence similarity 69, member A [Source:HGNC Symbol;Acc:HGNC:32213]	1	428	435	3.7687958569425	0	1	2 3a
ENSG00000154548	ENST00000452027	ENSP00000414302	135295	SRSF12	serine/arginine-rich splicing factor 12 [Source:HGNC Symbol;Acc:HGNC:21220]	1	261	265	3.31173181519917	0	0	
ENSG00000155052	ENST00000431078	ENSP00000399013	129684	CNTNAP5	contactin associated protein-like 5 [Source:HGNC Symbol;Acc:HGNC:18748]	1	1306	1418	2.51765771427199	0	1	5
ENSG00000155511	ENST00000518783	ENSP00000428994	2890	GRIA1	glutamate receptor, ionotropic, AMPA 1 [Source:HGNC Symbol;Acc:HGNC:4571]	6	916	982	2.75055308526332	1	1	2
ENSG00000155755	ENST00000409883	ENSP00000386264	65062	TMEM237	transmembrane protein 237 [Source:HGNC Symbol;Acc:HGNC:14432]	1	408	498	3.17124037984946	0	1	2 4
ENSG00000155833	ENST00000374798	ENSP00000420256	1539	CYLC2	cylicin, basic protein of sperm head cytoskeleton 2 [Source:HGNC Symbol;Acc:HGNC:2583]	1	348	457	3.4302523711209	0	0	
ENSG00000156575	ENST00000287143	ENSP00000287143	10394	PRG3	proteoglycan 3 [Source:HGNC Symbol;Acc:HGNC:9363]	4	225	225	2.47302162584303	0	0	
ENSG00000156858	ENST00000542965	ENSP00000441641	78994	PRR14	proline rich 14 [Source:HGNC Symbol;Acc:HGNC:28458]	1	585	586	3.10996218827214	0	0	
ENSG00000158481	ENST00000368170	ENSP00000357152	911	CD1C	CD1c molecule [Source:HGNC Symbol;Acc:HGNC:1636]	2	333	391	3.30491079803876	0	0	
ENSG00000158488	ENST00000368167	ENSP00000357149	913	CD1E	CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]	1	388	417	2.76756363533799	0	0	
ENSG00000158769	ENST00000368026	ENSP00000357005	50848	F11R	F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]	2	299	395	3.92644217041466	0	1	2
ENSG00000159763	ENST00000291009	ENSP00000291009	5304	PIP	prolactin-induced protein [Source:HGNC Symbol;Acc:HGNC:8993]	14	146	148	3.85066858363836	0	0	
ENSG00000160051	ENST00000537469	ENSP00000442291	55721	IQCC	IQ motif containing C [Source:HGNC Symbol;Acc:HGNC:25545]	1	546	636	3.30423691771746	0	0	
ENSG00000160293	ENST00000371850	ENSP00000360916	7410	VAV2	vav 2 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12658]	2	878	1157	3.29959073152096	0	1	2
ENSG00000160299	ENST00000359568	ENSP00000352572	5116	PCNT	pericentrin [Source:HGNC Symbol;Acc:HGNC:16068]	4	3336	3674	3.57638510609612	0	0	
ENSG00000161010	ENST00000292586	ENSP00000292586	51149	C5orf45	chromosome 5 open reading frame 45 [Source:HGNC Symbol;Acc:HGNC:30817]	1	343	422	2.46156346323905	0	0	
ENSG00000161048	ENST00000417955	ENSP00000407112	222236	NAPEPLD	N-acyl phosphatidylethanolamine phospholipase D [Source:HGNC Symbol;Acc:HGNC:21683]	1	393	500	3.0740063166541	0	0	
ENSG00000161551	ENST00000301399	ENSP00000301399	84765	ZNF577	zinc finger protein 577 [Source:HGNC Symbol;Acc:HGNC:28673]	1	485	486	2.84238463488968	0	0	
ENSG00000161921	ENST00000293778	ENSP00000293778	58191	CXCL16	chemokine (C-X-C motif) ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]	2	273	284	3.88349837922362	0	0	
ENSG00000162399	ENST00000371265	ENSP00000360312	7809	BSND	barttin CLCNK-type chloride channel accessory beta subunit [Source:HGNC Symbol;Acc:HGNC:16512]	1	320	320	2.38554959184057	0	0	
ENSG00000162572	ENST00000379116	ENSP00000368411	6339	SCNN1D	sodium channel, non-voltage-gated 1, delta subunit [Source:HGNC Symbol;Acc:HGNC:10601]	1	802	959	3.57758975615021	0	0	
ENSG00000162592	ENST00000294600	ENSP00000294600	148870	CCDC27	coiled-coil domain containing 27 [Source:HGNC Symbol;Acc:HGNC:26546]	2	656	794	3.4769186625204	0	0	
ENSG00000162624	ENST00000294638	ENSP00000294638	431707	LHX8	LIM homeobox 8 [Source:HGNC Symbol;Acc:HGNC:28838]	2	356	384	2.46572468798863	0	1	3a
ENSG00000162739	ENST00000368057	ENSP00000357036	114836	SLAMF6	SLAM family member 6 [Source:HGNC Symbol;Acc:HGNC:21392]	3	332	346	3.23971265341102	0	0	
ENSG00000162779	ENST00000367618	ENSP00000356590	126859	AXDND1	axonemal dynein light chain domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26564]	1	1012	1071	3.28898838019738	0	0	
ENSG00000162851	ENST00000366514	ENSP00000355471	64216	TFB2M	transcription factor B2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:18559]	3	396	414	4.45270030135184	1	0	
ENSG00000162877	ENST00000367136	ENSP00000356104	148811	PM20D1	peptidase M20 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26518]	2	502	545	3.79393009883773	0	0	
ENSG00000162896	ENST00000356495	ENSP00000348888	5284	PIGR	polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968]	1	764	826	3.28440082936895	0	0	
ENSG00000162949	ENST00000295055	ENSP00000295055	92291	CAPN13	calpain 13 [Source:HGNC Symbol;Acc:HGNC:16663]	5	669	725	4.82265281688174	0	0	
ENSG00000163071	ENST00000295213	ENSP00000295213	132671	SPATA18	spermatogenesis associated 18 [Source:HGNC Symbol;Acc:HGNC:29579]	1	538	610	3.79657720739539	0	0	
ENSG00000163221	ENST00000368737	ENSP00000357726	6283	S100A12	S100 calcium binding protein A12 [Source:HGNC Symbol;Acc:HGNC:10489]	3	92	115	4.37106722308381	0	0	
ENSG00000163377	ENST00000295569	ENSP00000295569	151647	FAM19A4	family with sequence similarity 19 (chemokine (C-C motif)-like), member A4 [Source:HGNC Symbol;Acc:HGNC:21591]	2	140	152	3.19670022607496	0	1	3b
ENSG00000163464	ENST00000295683	ENSP00000295683	3577	CXCR1	chemokine (C-X-C motif) receptor 1 [Source:HGNC Symbol;Acc:HGNC:6026]	4	350	358	2.55908469865839	1	0	
ENSG00000163518	ENST00000271532	ENSP00000271532	83417	FCRL4	Fc receptor-like 4 [Source:HGNC Symbol;Acc:HGNC:18507]	2	515	553	3.45179241904941	0	0	
ENSG00000163535	ENST00000357799	ENSP00000350447	151246	SGOL2	shugoshin-like 2 (S. pombe) [Source:HGNC Symbol;Acc:HGNC:30812]	2	1265	1269	3.59007684820052	0	0	
ENSG00000163554	ENST00000368147	ENSP00000357129	6708	SPTA1	spectrin, alpha, erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11272]	2	2419	2477	2.71048541615076	0	0	
ENSG00000163565	ENST00000368131	ENSP00000357113	3428	IFI16	interferon, gamma-inducible protein 16 [Source:HGNC Symbol;Acc:HGNC:5395]	6	729	959	4.24552946532109	0	0	
ENSG00000163608	ENST00000314400	ENSP00000320251	25871	C3orf17	chromosome 3 open reading frame 17 [Source:HGNC Symbol;Acc:HGNC:24496]	1	567	573	4.6885234046322	0	0	
ENSG00000163617	ENST00000295878	ENSP00000295878	57577	KIAA1407	KIAA1407 [Source:HGNC Symbol;Acc:HGNC:29272]	1	936	944	3.08313932978272	0	0	
ENSG00000164031	ENST00000442697	ENSP00000404381	79982	DNAJB14	DnaJ (Hsp40) homolog, subfamily B, member 14 [Source:HGNC Symbol;Acc:HGNC:25881]	1	379	425	3.38849350208752	0	0	
ENSG00000164049	ENST00000296438	ENSP00000296438	285231	FBXW12	F-box and WD repeat domain containing 12 [Source:HGNC Symbol;Acc:HGNC:20729]	1	464	473	3.72511170367691	0	0	
ENSG00000164091	ENST00000296490	ENSP00000296490	80335	WDR82	WD repeat domain 82 [Source:HGNC Symbol;Acc:HGNC:28826]	1	313	313	4.0897745825951	0	0	
ENSG00000164185	ENST00000296600	ENSP00000296600	133923	ZNF474	zinc finger protein 474 [Source:HGNC Symbol;Acc:HGNC:23245]	2	364	463	3.31057989918984	0	0	
ENSG00000164323	ENST00000458385	ENSP00000409964	57587	CFAP97	cilia and flagella associated protein 97 [Source:HGNC Symbol;Acc:HGNC:29276]	1	532	547	4.26605679583872	0	0	
ENSG00000164334	ENST00000613773	ENSP00000482552	340069	FAM170A	family with sequence similarity 170, member A [Source:HGNC Symbol;Acc:HGNC:27963]	1	329	376	4.23042162597446	0	1	3b
ENSG00000164399	ENST00000296870	ENSP00000296870	3562	IL3	interleukin 3 [Source:HGNC Symbol;Acc:HGNC:6011]	2	152	152	4.63882371782588	0	0	
ENSG00000164627	ENST00000287152	ENSP00000287152	221458	KIF6	kinesin family member 6 [Source:HGNC Symbol;Acc:HGNC:21202]	1	814	835	3.14990068865305	0	1	2 3b
ENSG00000164825	ENST00000297439	ENSP00000297439	1672	DEFB1	defensin, beta 1 [Source:HGNC Symbol;Acc:HGNC:2766]	1	68	68	3.84353655102274	0	0	
ENSG00000164893	ENST00000297524	ENSP00000297524	157724	SLC7A13	solute carrier family 7 (anionic amino acid transporter), member 13 [Source:HGNC Symbol;Acc:HGNC:23092]	1	470	557	6.16637776244813	0	0	
ENSG00000165120	ENST00000297819	ENSP00000297819	136263	SSMEM1	serine-rich single-pass membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29580]	1	244	244	3.54847130084614	0	0	
ENSG00000165168	ENST00000378588	ENSP00000367851	1536	CYBB	cytochrome b-245, beta polypeptide [Source:HGNC Symbol;Acc:HGNC:2578]	6	570	622	3.44820541837643	0	0	
ENSG00000166049	ENST00000370357	ENSP00000359382	139135	PASD1	PAS domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20686]	33	773	1006	4.09639553097586	0	0	
ENSG00000166090	ENST00000329715	ENSP00000328111	64806	IL25	interleukin 25 [Source:HGNC Symbol;Acc:HGNC:13765]	1	177	301	2.62279624098254	0	0	
ENSG00000166825	ENST00000300060	ENSP00000300060	290	ANPEP	alanyl (membrane) aminopeptidase [Source:HGNC Symbol;Acc:HGNC:500]	1	967	1097	4.29379250201199	0	0	
ENSG00000166947	ENST00000300215	ENSP00000300215	2038	EPB42	erythrocyte membrane protein band 4.2 [Source:HGNC Symbol;Acc:HGNC:3381]	2	721	782	2.59746745752648	0	0	
ENSG00000167098	ENST00000356173	ENSP00000348496	140732	SUN5	Sad1 and UNC84 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:16252]	1	379	392	4.07544951577414	0	0	
ENSG00000167103	ENST00000388747	ENSP00000373399	138429	PIP5KL1	phosphatidylinositol-4-phosphate 5-kinase-like 1 [Source:HGNC Symbol;Acc:HGNC:28711]	2	394	471	3.71398945398922	0	0	
ENSG00000167196	ENST00000308275	ENSP00000307833	26263	FBXO22	F-box protein 22 [Source:HGNC Symbol;Acc:HGNC:13593]	1	403	442	3.11393287281752	0	0	
ENSG00000168246	ENST00000393792	ENSP00000377381	92181	UBTD2	ubiquitin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24463]	1	234	234	3.3946593646613	0	1	3a
ENSG00000168356	ENST00000302328	ENSP00000307599	11280	SCN11A	sodium channel, voltage-gated, type XI, alpha subunit [Source:HGNC Symbol;Acc:HGNC:10583]	2	1791	1898	4.5643123789162	0	0	
ENSG00000168461	ENST00000578921	ENSP00000461945	11031	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	1	195	195	3.68176398555988	0	0	
ENSG00000169026	ENST00000404286	ENSP00000384616	84179	MFSD7	major facilitator superfamily domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26177]	2	560	613	4.24119202699803	0	0	
ENSG00000169087	ENST00000306103	ENSP00000302562	79663	HSPBAP1	HSPB (heat shock 27kDa) associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16389]	1	488	497	3.6829644959353	0	0	
ENSG00000169194	ENST00000304506	ENSP00000304915	3596	IL13	interleukin 13 [Source:HGNC Symbol;Acc:HGNC:5973]	1	146	188	3.57658601505759	0	0	
